YEAR,MONTH,DAY,PRIMARY_MAGNITUDE,COUNTRY,LATITUDE,LONGITUDE,INTENSITY_SOLOVIEV
1878,1,28,,CHILE,-33,-71.6,1.5
1878,2,3,,CHILE,-20.2,-70.1,
1878,2,4,,PERU,-12,-77,
1878,2,4,,PAPUA NEW GUINEA,-4.25,152.25,1
1878,2,11,8,VANUATU,-19,168.5,1.5
1878,2,14,,CHILE,-36.8,-73,0
1878,3,12,,CHILE,-20.2,-70.1,0
1878,4,12,,CHILE,-20.2,-70.1,0.5
1878,4,19,6.7,TURKEY,40.8,20.9,3
1878,6,12,,CHILE,-23.7,-70.4,0
1878,6,30,,CHILE,-18.3,-70.5,0
1878,8,29,,USA,54,-167,1.5
1878,8,,,INDONESIA,,,
1878,8,,,VANUATU,-19,168.5,
1878,9,30,,CHILE,-20.2,-70.2,0.5
1878,10,11,,RUSSIA,,,
1878,11,22,,USA,35.18,-120.731,1.5
1878,11,23,,CHILE,-33,-71.6,0.5
1879,2,4,,ITALY,38.789,15.213,
1879,4,27,,NEW ZEALAND,-42.45,171.21,
1879,7,11,5.9,EGYPT,29,33,
1879,7,29,,CROATIA,,,3
1879,8,8,,CHILE,-33,-71.6,1.5
1879,8,10,,USA,34.227,-118.433,
1879,,,,USA,41.28,-70.08,
1880,4,14,,NORWAY,62.083,7.117,3
1880,4,26,,ITALY,37.27,14.68,
1880,7,18,7.5,PHILIPPINES,16,121.85,0
1880,8,15,7.7,CHILE,-31.62,-71.18,0.5
1880,9,2,,GREECE,,,
1880,9,8,7,NEW ZEALAND,-38.85,178.85,
1880,9,23,,AUSTRALIA,-33.8,151.3,
1880,9,29,6.3,USA,55.8,-155.6,
1880,10,26,6.3,USA,57,-136,0
1880,11,,,JAPAN,36.7,137.3,1
1881,4,3,6.5,GREECE,38.2,26.2,2
1881,4,11,,GREECE,38.2,26.2,
1881,6,29,,NEW ZEALAND,-43.69,172.9,
1881,7,12,,FIJI,-16,179,1
1881,7,14,,CHILE,-20.2,-70.1,1
1881,8,12,,JAMAICA,17.97,-76.8,
1881,10,25,7,JAPAN,43.3,147.3,1.5
1881,10,27,,CHILE,-19.6,-70.2,
1881,11,24,,TONGA,,,
1881,12,15,,GREECE,38.4,21.4,3
1881,12,31,7.9,INDIA,8.52,92.43,
1882,1,,,SRI LANKA,8.567,81.233,
1882,2,23,,CHILE,-33.58,-71.63,
1882,4,13,,NEW ZEALAND,-41.32,175.84,
1882,9,7,7.9,PANAMA,10,-79,1
1882,9,14,,CHILE,-19.6,-70.2,
1882,10,10,7.5,INDONESIA,-4.5,129.9,0.5
1882,12,9,6.2,TAIWAN,24.5,120.5,
1882,,,,CHINA,,,
1883,3,12,,MEXICO,,,2
1883,3,24,,SAMOA,,,1
1883,5,20,,INDONESIA,-6.004,106.781,1
1883,5,31,,INDONESIA,-2.25,106,0
1883,6,27,,GREECE,39.5,20,3
1883,8,27,,INDONESIA,-6.102,105.423,4
1883,10,6,,USA,59.4,-153.4,3
1883,10,10,,INDONESIA,-6.102,105.423,0
1884,1,14,,URUGUAY,-34.917,-56.167,
1884,1,25,,USA,38,-122,
1884,1,,,FIJI,-16,179,
1884,2,,,INDONESIA,-6.102,105.423,0
1884,7,20,6.2,ERITREA,15.7,39.6,
1884,8,10,5.5,USA,40.6,-73.75,
1884,9,19,,USA,42.35,-82.95,
1884,11,5,7.5,PANAMA,7.5,-79,
1884,11,12,,USA,40,-122,-3
1884,11,15,,JAPAN,,,0
1884,12,21,,USA,41.31,-72.92,
1885,1,16,,FRANCE,,,4
1885,1,29,,ALGERIA,,,
1885,4,30,7.3,INDONESIA,-2.5,127.5,0.5
1885,7,29,6.8,INDONESIA,0,99.5,0
1885,8,3,,INDONESIA,1.1,124.3,0
1885,11,12,,CHILE,-20.2,-70.1,0.5
1885,11,19,,USA,,,
1885,11,24,,USA,,,
1885,12,14,,INDONESIA,5.55,95.3,
1886,1,31,,INDONESIA,5.6,95.3,
1886,8,27,7.5,GREECE,37.1,21.5,3
1886,8,29,,CHILE,,,
1886,9,1,7.7,USA,32.9,-80,
1886,12,,,NEW ZEALAND,-43.957,168.616,
1886,,,,BANGLADESH,,,
1887,2,2,,PHILIPPINES,10.7,122.6,
1887,2,5,,USA,19,-155,
1887,2,23,,ITALY,43.7,8.1,3
1887,5,3,8,MEXICO,31,-109,1
1887,5,19,,INDONESIA,5.4,96,
1887,7,8,,USA,,,
1887,9,23,,HAITI,19.7,-74.4,
1887,10,3,6.2,GREECE,38.3,22.8,3
1888,3,13,,PAPUA NEW GUINEA,-5.52,148.121,3.5
1888,3,21,,INDONESIA,5.8,95,
1888,4,23,,NORWAY,63.433,10.383,3
1888,6,5,,URUGUAY,-34.5,-57.9,
1888,6,13,7.5,CHINA,38.5,119,
1888,7,30,,ITALY,,,3
1888,9,9,6.1,GREECE,38.2,22.1,
1889,1,1,,USA,,,
1889,3,8,,TONGA,,,
1889,5,25,6.8,PHILIPPINES,13.5,121,-3
1889,8,16,,INDONESIA,-6.05,105.92,1
1889,9,6,8,INDONESIA,1,126.25,2.5
1889,9,8,,USA,,,
1889,9,8,,INDONESIA,,,
1889,11,23,6,INDONESIA,-7,113.5,1
1889,12,8,,ITALY,42.05,15.5,
1890,7,11,7.2,IRAN,36.6,54.6,
1891,1,15,,ALGERIA,36.5,1.8,
1891,5,19,,INDONESIA,5.4,96,
1891,6,10,,INDONESIA,-0.5,127.5,0.5
1891,6,20,,INDONESIA,-4,129,0
1891,6,22,,NEW ZEALAND,-37.4,174.4,
1891,7,30,,MEXICO,25.5,-103.5,1
1891,9,16,,NEW ZEALAND,-43.51,172.73,
1891,10,5,7,INDONESIA,-9,124,0.5
1891,11,29,,USA,48,-123.5,
1892,1,7,,INDONESIA,,,
1892,3,27,,CHILE,-18.5,-70.35,
1892,5,10,,URUGUAY,-34.917,-56.167,
1892,5,16,7.5,USA TERRITORY,14,143.3,0.5
1892,5,17,,INDONESIA,2.5,99.5,1
1892,6,7,,INDONESIA,3.67,125.5,1
1892,8,30,,TONGA,-19.75,-175.07,
1892,8,,,VANUATU,-15.25,166.83,1.5
1892,11,15,,ITALY,40.54,13,
1892,11,18,7,INDONESIA,-3,127.75,-1
1892,12,9,6.5,JAPAN,37,136.8,0
1893,1,28,,GREECE,,,
1893,2,9,6.5,GREECE,40.5,25.5,3
1893,2,19,,JAMAICA,17.97,-76.8,
1893,4,17,6.4,GREECE,37.7,20.9,
1893,6,4,7,RUSSIA,43.3,147.5,1.5
1893,6,13,6.9,JAPAN,42.5,145.5,1
1893,6,14,7.5,ALBANIA,40.2,19.7,3
1893,6,21,,PHILIPPINES,6.9,125.8,
1893,7,31,6,VANUATU,-17.75,168.3,0
1893,8,27,,VANUATU,-17.75,168.3,0
1894,3,22,7.9,JAPAN,42.5,146,1.5
1894,4,27,7,GREECE,38.7,23.1,4
1894,5,10,,MEXICO,25.4,-108.95,
1894,7,10,6.7,TURKEY,40.6,28.7,3
1894,10,22,7,JAPAN,38.9,139.8,-1
1894,11,16,,ITALY,38.3,15.9,
1894,11,21,,ATLANTIC OCEAN,49,-34.5,
1894,11,28,,USA,47.286,-122.445,
1894,,,,TUNISIA,,,3
1895,1,28,,USA,,,
1895,3,6,7.3,PAPUA NEW GUINEA,-8.4,150.1,2
1895,3,9,,USA,,,
1895,5,25,,JAPAN,33,130,0.5
1895,5,31,,CHILE,-18,-71,
1895,7,8,8.2,TURKMENISTAN,39.5,53.7,
1895,7,9,,NEW ZEALAND,-43.688,172.9,
1895,7,,,USA,,,
1895,8,18,6,NEW ZEALAND,-38.8,176,
1895,9,1,4.3,USA,40.667,-74.883,
1895,10,14,,USA,,,
1895,10,31,6.7,USA,37,-89.4,
1895,11,1,,ITALY,41.7,12.2,3
1896,1,9,7.6,JAPAN,36.5,141,-2.5
1896,2,16,,JAMAICA,17.6,-76.7,
1896,6,15,8.3,JAPAN,39.5,144,3.8
1896,10,10,6.8,INDONESIA,-3.5,102.5,0
1896,10,16,,ITALY,43.7,8.1,2
1896,11,5,,GREECE,,,
1896,12,17,,USA,,,1.5
1896,,,,ICELAND,,,
1897,2,19,7.4,JAPAN,38.1,141.9,
1897,3,15,5.5,INDONESIA,-6.8,120.8,1
1897,3,26,,SOLOMON ISLANDS,-10.38,165.8,
1897,4,17,,USA,,,
1897,4,29,,NEW ZEALAND,-43.6,172.8,
1897,6,12,8.7,INDIA,26,91,
1897,6,20,7,MEXICO,16,-95,
1897,8,5,7.7,JAPAN,38,143.7,1
1897,9,20,8.6,PHILIPPINES,6,122,1
1897,9,21,8.7,PHILIPPINES,6,122,2.5
1897,9,21,,NEW ZEALAND,-41.3,174.8,
1897,10,18,8.1,PHILIPPINES,12,126,1.5
1897,12,29,,DOMINICAN REPUBLIC,18.5,-69.95,
1897,12,,,GREECE,,,
1897,,,,MONTSERRAT,16.72,-62.18,
1898,3,31,6.2,USA,38.2,-122.4,2
1898,4,22,7.2,JAPAN,38.6,142,-3
1898,6,2,7,GREECE,37.6,22.5,
1898,7,23,6.5,CHILE,-36.83,-73.03,
1898,12,3,,GREECE,37.75,21,3
1899,1,15,,PAPUA NEW GUINEA,-3,152,1.5
1899,1,22,6.6,GREECE,37.2,21.6,3
1899,1,29,,AUSTRALIA,-12.4,130.7,
1899,2,3,,PORTUGAL,38.7,-28.2,
1899,8,8,,CHILE,-33,-71.5,
1899,9,4,8.2,USA,60,-142,0
1899,9,10,8.2,USA,60,-140,3
1899,9,29,7.8,INDONESIA,-3,128.5,3
1899,10,7,,JAPAN,35.1,138.75,1
1899,10,19,,PAPUA NEW GUINEA,-5,148,1.5
1899,11,24,7.1,JAPAN,31.9,132,-1
1899,11,25,6.9,JAPAN,32.7,132.3,-2
1899,12,25,6.4,USA,33.8,-118.5,0.5
1900,1,10,,INDONESIA,1.82,127.85,0
1900,8,11,,USA,58.6,-137.5,
1900,9,10,6.8,PAPUA NEW GUINEA,-4,152,
1900,9,17,,PAPUA NEW GUINEA,-5,148,1.5
1900,10,7,6.9,INDONESIA,-4,140,1.5
1900,10,29,8.4,VENEZUELA,11,-66,
1901,3,3,6.7,USA,36,-120.5,
1901,3,31,7.2,BULGARIA,43.4,28.5,
1901,6,15,6,JAPAN,39,143,
1901,6,24,7.5,JAPAN,28,130.3,-1.5
1901,8,9,7.2,JAPAN,40.5,142.5,-0.5
1901,8,9,7.9,NEW CALEDONIA,-22,170,
1901,8,9,7.4,JAPAN,40.6,142.3,-1
1901,8,9,6.3,JAPAN,40.5,142.5,
1901,9,10,7,PHILIPPINES,14,121.6,0
1901,10,8,7,NICARAGUA,11,-86.5,
1901,12,31,7.1,USA,51.45,-171.02,
1902,1,18,6.3,GUATEMALA,14.71,-91.59,
1902,2,26,7,EL SALVADOR,13.5,-89.5,2
1902,4,19,7.5,GUATEMALA,14,-91,
1902,5,5,,MARTINIQUE (FRENCH TERRITORY),14.82,-61.17,
1902,5,7,,SAINT VINCENT AND THE GRENADINES,13.33,-61.18,
1902,5,8,,MARTINIQUE (FRENCH TERRITORY),14.82,-61.17,
1902,5,20,,MARTINIQUE (FRENCH TERRITORY),14.82,-61.17,
1902,7,5,6.6,GREECE,40.75,23.25,2
1902,8,16,,MEXICO,24.6,-107.9,
1902,8,21,7.3,PHILIPPINES,7.5,123.5,2
1902,8,30,,MARTINIQUE (FRENCH TERRITORY),14.82,-61.17,
1902,9,27,,GUATEMALA,14,-91,
1903,2,10,,USA TERRITORY,14,143.3,2
1903,3,30,6.5,INDONESIA,-3,127.5,0
1903,5,13,,ITALY,38.1,13.4,2
1903,7,16,,MEXICO,16.7,-99.2,
1903,8,,,USA,,,
1903,9,7,,TAIWAN,,,0
1903,9,26,,CHILE,-20.2,-70.15,
1903,10,6,,USA,,,
1903,10,8,,USA,,,
1903,11,17,,USA,,,
1903,11,24,,USA,,,
1903,11,29,,USA,,,3
1903,12,7,6.5,CHILE,-28.5,-71,
1904,1,20,7.9,COLOMBIA,7,-79,
1904,2,2,,INDONESIA,1.5,120.8,0.5
1904,3,30,,USA,,,0.5
1904,6,25,8.3,RUSSIA,52,159,2
1904,6,25,8.1,RUSSIA,52,159,
1904,7,5,,INDONESIA,-3.6,128.7,1
1904,8,8,7.2,NEW ZEALAND,-40.4,176.4,
1904,8,25,,NEW ZEALAND,-39.12,177.2,
1904,9,7,,INDONESIA,-7.7,109,0
1904,12,20,7.2,PANAMA,9.2,-82.8,
1904,12,30,,COOK ISLANDS,,,
1905,1,16,,NORWAY,61.866,6.85,
1905,1,20,6.3,GREECE,39.66,22.83,
1905,1,20,6.8,COSTA RICA,9.85,-84.68,
1905,1,,,MEXICO,19,-113,
1905,3,19,,VANUATU,,,
1905,4,4,7.8,INDIA,33,76,
1905,7,4,,USA,60,-139.58,2.5
1905,7,6,7,JAPAN,37.4,142.6,
1905,8,4,,SAMOA,-13.612,-172.525,0.5
1905,9,8,7.9,ITALY,39,16,4
1905,10,4,5.1,RUSSIA,44.5,37.5,2
1905,10,21,7.5,GEORGIA,42,42,
1905,11,22,,VANUATU,-17.7,168.3,
1905,11,24,,VANUATU,-17.7,168.3,
1905,12,8,6.5,PHILIPPINES,11,123.5,0
1905,,,,TUNISIA,37.3,9.9,3
1905,,,,TOGO,,,
1906,1,31,8.8,ECUADOR,1,-81.5,3
1906,1,31,,VENEZUELA,10.5,-66.916,
1906,2,7,,ECUADOR,1,-81,0.5
1906,2,21,,COLOMBIA,3.9,-77.033,
1906,4,4,,ITALY,40.821,14.426,3
1906,4,18,7.9,USA,37.7,-122.5,-4
1906,5,7,,CHILE,-18.5,-70.3,
1906,5,25,,EL SALVADOR,13.25,-88.83,
1906,7,1,,"MARSHALL ISLANDS, REP. OF",,,
1906,8,7,,USA,33.9,-117,
1906,8,17,8.2,CHILE,-33,-72,2
1906,9,14,8,PAPUA NEW GUINEA,-7,149,1.5
1906,10,2,7.2,PAPUA NEW GUINEA,-4,149,1.5
1906,11,6,,USA,,,
1906,11,20,5,GHANA,6.5,0.3,
1906,11,28,,SAMOA,-13.612,-172.525,
1906,12,26,7.9,PERU,-18,-71,
1906,,,,VENEZUELA,10.6,-66.95,
1907,1,4,7.6,INDONESIA,2,94.5,2
1907,1,14,6.5,JAMAICA,18,-76.8,
1907,3,29,7.3,INDONESIA,3,122,2
1907,4,14,8.1,MEXICO,17,-100,
1907,6,8,,SAMOA,-13.612,-172.525,
1907,6,19,,SAMOA,-13.612,-172.525,
1907,6,27,,SAMOA,-13.612,-172.525,
1907,7,9,,SAMOA,-13.612,-172.525,
1907,7,25,,SAMOA,-13.612,-172.525,
1907,7,,,TONGA,-21.38,-175.65,0.5
1907,9,24,5.5,USA,59.5,-135.5,0
1907,10,6,,SAMOA,-13.612,-172.525,
1907,10,23,5.9,ITALY,38.133,16.017,3
1907,12,15,7.4,PAPUA NEW GUINEA,-3.1,142.5,
1908,2,6,7.5,INDONESIA,-2,100,1
1908,2,14,6,USA,61,-146.2,
1908,3,23,6.6,INDONESIA,-10,129,
1908,5,31,6.5,UKRAINE,44,34,
1908,9,11,,CANADA,48.958,-62.133,
1908,9,21,6.8,USA,19,-155,0
1908,12,12,8.2,PERU,-14,-78,
1908,12,28,7,ITALY,38.17,15.58,5
1909,3,7,,COOK ISLANDS,-21,-159,
1909,3,12,6.7,JAPAN,34.5,141.5,
1909,3,13,7.5,JAPAN,34.5,141.5,
1909,6,3,7.6,INDONESIA,-2,101,1
1909,6,8,7.6,CHILE,-26.5,-70.5,
1909,7,8,,VANUATU,-15.5,167.2,
1909,7,30,7.4,MEXICO,16.8,-99.8,
1909,8,14,6.9,JAPAN,35.4,136.3,
1909,9,20,,USA,,,
1909,12,9,8,USA TERRITORY,12.5,145,
1910,2,25,6,PAPUA NEW GUINEA,-4.25,152.25,0
1910,3,20,,NEW ZEALAND,,,
1910,11,5,,USA,64,-165,
1910,11,10,7.2,VANUATU,-14,166.5,
1910,11,21,,USA,,,-1.5
1910,12,18,6.7,INDONESIA,4,127,-1
1910,12,30,6.2,PHILIPPINES,9,125.5,1
1911,1,30,,PHILIPPINES,14.002,120.993,
1911,2,18,6.7,ALBANIA,40.9,20.8,
1911,5,8,,PAPUA NEW GUINEA,-4.25,152.25,0
1911,5,11,6.6,TOGO,6.1,1.2,
1911,6,15,8,JAPAN,28,130,1.5
1911,7,12,7.8,PHILIPPINES,9,126,
1911,9,15,7.3,CHILE,-20,-72,
1911,9,22,6.9,USA,60.5,-149,0.5
1911,11,3,,TRINIDAD AND TOBAGO,10.5,-61.2,
1912,1,24,6.8,GREECE,38.12,20.67,
1912,4,13,,USA,42,-81,
1912,6,8,6.6,JAPAN,40.5,142,0
1912,8,9,7.8,TURKEY,40.5,27.2,
1912,10,31,6.9,"MICRONESIA, FED. STATES OF",7,138,0
1912,12,6,,"MICRONESIA, FED. STATES OF",,,0.5
1913,2,22,6.8,NEW ZEALAND,-41.8,171.5,0.5
1913,3,14,7.8,INDONESIA,5.354,126.121,
1913,6,9,,USA,39.314,-74.525,
1913,7,28,7,PERU,-16.6,-73.3,
1913,8,6,7.9,PERU,-17,-74,
1913,10,11,7,PAPUA NEW GUINEA,-7,148,
1913,12,11,,USA,,,
1914,1,12,7.1,JAPAN,31.58,130.67,-1
1914,1,12,,PERU,-12,-76.6,1.5
1914,1,15,,ITALY,43.5,10.2,2
1914,2,26,7.2,PERU,-17,-72,
1914,3,14,,INDONESIA,,,
1914,5,26,8.1,INDONESIA,-1.829,136.943,2
1914,5,,,CANADA,48.958,-62.133,
1914,6,25,7.6,INDONESIA,-3.924,101.82,
1914,10,6,,NEW ZEALAND,-37.8,178.2,
1914,11,27,6.3,GREECE,38.8,20.6,4
1914,12,3,,INDONESIA,-3.7,128.2,0
1915,1,27,6.6,GREECE,38.4,20.6,
1915,2,11,,USA TERRITORY,-14.18,-169.66,
1915,5,23,,INDONESIA,-3.644,133.695,0
1915,8,7,6.7,GREECE,38.5,20.7,3
1915,8,,,PAPUA NEW GUINEA,,,
1915,9,7,7.9,EL SALVADOR,14,-89,0.5
1915,11,1,7.8,JAPAN,38.3,142.9,0.5
1915,11,6,6,INDONESIA,-1,136,0
1915,11,18,6.4,PHILIPPINES,18,119.5,0.5
1916,1,1,7.9,PAPUA NEW GUINEA,-4.739,152.548,2
1916,1,31,,COSTA RICA,,,
1916,4,26,7,PANAMA,9.6,-82,
1916,7,3,5.1,ITALY,38.817,15.233,4
1916,8,16,5.9,ITALY,43.967,12.667,2
1916,11,12,,VENEZUELA,10.46,-67.77,
1917,1,9,,INDONESIA,1.57,122.72,2
1917,1,20,6.6,INDONESIA,-7,116,
1917,1,25,6.5,CHINA,24.47,118.08,1
1917,1,30,7.8,RUSSIA,56.5,163,
1917,1,31,6.4,PHILIPPINES,6,125,
1917,1,,,INDONESIA,-0.25,104.5,1.5
1917,3,16,,INDONESIA,-3.7,116.6,1
1917,5,1,8,NEW ZEALAND,-29.2,-177,3
1917,5,6,5.8,TAIWAN,23.2,121.6,-0.5
1917,6,26,8.3,SAMOA,-15.5,-173,3
1917,7,29,7.7,PAPUA NEW GUINEA,-3,143.5,1
1917,8,16,,USA,58.204,-134.147,
1917,8,23,,INDONESIA,-3.6,128.7,0.5
1917,9,1,,FRENCH POLYNESIA,,,
1917,11,16,7.5,NEW ZEALAND,-29,-177.5,1
1917,12,6,,CANADA,44.633,-63.583,
1918,2,13,7.5,CHINA,23.5,117.2,-1
1918,5,20,7.9,CHILE,-28.5,-71.5,
1918,7,18,,INDONESIA,3.138,125.491,0
1918,8,14,5.5,CHINA,26.9,103,
1918,8,15,8.3,PHILIPPINES,5.5,123,2.5
1918,9,7,8.2,RUSSIA,45.5,151.5,3
1918,10,11,7.3,USA TERRITORY,18.5,-67.5,
1918,10,25,,USA TERRITORY,18.5,-67.5,
1918,11,8,7.8,RUSSIA,44.5,151.5,2
1918,12,4,7.8,CHILE,-26,-71,2.5
1918,,,,ICELAND,,,
1919,1,1,7.4,PHILIPPINES,8,126,
1919,1,1,8.3,TONGA,-19.6,-176.6,
1919,1,,,USA,,,
1919,2,13,,INDONESIA,-9,124.85,1.5
1919,4,3,,INDONESIA,3.138,125.491,
1919,4,9,,USA,,,
1919,4,29,,TONGA,-19,-172.6,
1919,4,30,8.1,TONGA,-18.352,-172.515,1.5
1919,5,6,7.8,PAPUA NEW GUINEA,-4.852,153.714,1
1919,5,22,,ITALY,38.789,15.213,4
1919,6,29,6.6,NICARAGUA,12.33,-88.291,
1919,8,19,,VENEZUELA,10.6,-71.6,
1919,10,2,,USA,19.23,-155.9,2
1919,10,22,5.6,ITALY,41.4,12.6,
1919,11,21,,INDONESIA,-2.55,140.75,
1919,12,26,,UKRAINE,44,33,
1920,1,29,,INDONESIA,0.87,122.92,1
1920,2,2,7.7,PAPUA NEW GUINEA,-6.5,150,
1920,8,20,7,CHILE,-38,-73.5,1
1920,8,,,USA TERRITORY,-15,-170,
1920,9,20,7.8,VANUATU,-19.919,168.53,
1920,12,16,7.8,CHINA,36.7,104.9,
1920,12,18,5.6,ALBANIA,40.5,19.5,5
1921,5,14,6.2,INDONESIA,0.7,117.9,0.5
1921,8,4,,CHINA,40.13,124.38,
1921,9,11,7.5,INDONESIA,-11,111,-2
1921,11,11,7.5,PHILIPPINES,8,127,1
1921,12,16,,USA,,,0
1922,1,6,7.2,PERU,-16.5,-73,
1922,1,19,7.5,PAPUA NEW GUINEA,-7,143,
1922,2,22,,INDONESIA,-3.3,128.9,0.5
1922,2,27,6.3,PHILIPPINES,10.2,124.1,0
1922,3,1,6,PHILIPPINES,9,123.25,0.5
1922,4,10,,INDONESIA,-1,100.35,0
1922,5,2,,USA,,,
1922,7,8,,INDONESIA,5.5,95.2,0
1922,8,8,5.6,GREECE,37.5,23.2,
1922,9,1,7.6,TAIWAN,24.5,122,
1922,10,22,,AUSTRALIA,,,
1922,11,7,7,CHILE,-28,-72,
1922,11,11,8.7,CHILE,-28.553,-70.755,2.5
1922,12,25,6.3,NEW ZEALAND,-43,173,0
1923,1,22,7.2,USA,40.8,-124.5,
1923,2,3,8.3,RUSSIA,54,161,
1923,2,17,,CHILE,-35.33,-72.42,1.5
1923,3,2,7.2,PHILIPPINES,6.5,124,0.5
1923,3,4,,CHILE,-26.3,-80.1,4
1923,4,13,7.2,RUSSIA,56.5,162.5,3.5
1923,5,4,7,CHILE,-28.75,-71.75,
1923,5,7,,CHILE,,,
1923,6,1,7.3,JAPAN,35.4,141.8,-1.5
1923,7,18,5.5,PHILIPPINES,9.3,125,1
1923,8,6,,USA,40.6,-73.5,
1923,8,12,,CHILE,-18.5,-70.3,
1923,8,,,KOREA,,,1.5
1923,9,1,7.9,JAPAN,35.1,139.5,3
1923,9,2,7.7,JAPAN,34.9,140.2,-1.5
1923,9,4,,USA,,,
1923,11,2,7.2,PAPUA NEW GUINEA,-4.5,151.5,
1923,11,4,7.2,PAPUA NEW GUINEA,-5,152,
1924,3,15,6.8,RUSSIA,49.179,142.436,
1924,4,13,,RUSSIA,,,
1924,4,14,8.3,PHILIPPINES,6.5,126.5,0.5
1924,4,16,,RUSSIA,,,
1924,5,6,6.5,PHILIPPINES,16,118,1.5
1924,5,30,,USA,,,2
1924,6,2,,PHILIPPINES,,,
1924,6,26,7.8,AUSTRALIA,-56,157.5,
1924,7,19,,NEW ZEALAND,-43.95,-176.567,1
1924,8,8,,USA,40.567,-73.983,
1924,8,28,,ICELAND,64.15,-21.95,
1924,8,30,7.3,PHILIPPINES,8.5,126.5,0.5
1925,1,8,,INDONESIA,-8,115,0
1925,2,23,6,USA,60,-146,1
1925,5,4,,MEXICO,14.583,-106.1,
1925,5,5,6.8,PHILIPPINES,9.3,122.7,0.5
1925,5,11,,ITALY,,,
1925,5,15,7.1,CHILE,-26,-71.5,
1925,5,25,6.3,PHILIPPINES,12.2,122.1,0.5
1925,10,4,,USA,,,-3.5
1925,11,13,7.3,PHILIPPINES,13,125,0.5
1925,11,16,7,MEXICO,18.5,-107,3
1925,11,25,,PHILIPPINES,,,
1925,12,22,,"MICRONESIA, FED. STATES OF",10,138,1.5
1926,1,9,,USA,44.233,-68.35,
1926,1,25,7.4,SOLOMON ISLANDS,-9,159.5,
1926,3,20,,USA,20.5,-155.5,
1926,3,31,,COOK ISLANDS,,,2.5
1926,6,28,5.8,INDONESIA,-0.7,100.6,
1926,7,30,,UK,49.21,-2.131,
1926,7,,,SOUTH KOREA,35,128,1.5
1926,8,17,5.3,ITALY,38.567,14.833,3
1926,8,22,,PORTUGAL,38.3,-28.4,
1926,8,30,7.2,GREECE,36.5,23.3,
1926,9,16,6.9,SOLOMON ISLANDS,-9.674,159.519,1.5
1926,12,9,6,CHILE,-28,-71,0.5
1926,12,19,,PORTUGAL,,,
1927,1,1,5.7,USA,32.5,-115.5,1
1927,1,24,5.1,NORWAY,59,3,
1927,3,7,7.6,JAPAN,35.6,135.1,0.5
1927,6,26,6,UKRAINE,44.4,34.4,2
1927,7,11,6.3,ISRAEL,32,35.5,
1927,8,5,6.9,JAPAN,37.9,142,
1927,8,18,6.4,JAPAN,34.2,142,
1927,9,6,,MEXICO,17,-104,
1927,9,11,6.8,UKRAINE,44.4,34.5,2
1927,10,12,,USA,,,
1927,10,24,7.1,USA,57.69,-136.07,
1927,11,4,7.3,USA,34.813,-120.774,1
1927,11,21,7.1,CHILE,-44.6,-73,2
1927,12,1,6.3,INDONESIA,-0.7,119.7,3
1927,12,28,7.5,RUSSIA,55.663,160.039,
1927,,,,NEW ZEALAND,-38.37,178.31,
1928,2,9,5.8,CANADA,49,-125,0
1928,3,22,7.7,MEXICO,15.67,-96.1,
1928,3,26,,INDONESIA,-6.102,105.423,
